,User,Model Type,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Day.in.Study.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Y,Prior.Day.Total.Brush.Time.norm.Y,Day.in.Study.norm.Y,Proportion.Brushed.In.Past.7.Days.Y,Day.Type.Y,Intercept.Y,Sigma_u
0,robas+12,zero_infl,2.6915086300601336,0.154178405423185,0.3323283427851445,-0.664670050761945,0.3248011513458219,-1.5537966902085876,-0.0247373448421801,0.1225821031324231,-0.1688528447302763,-0.163797256826462,0.0633703342225033,4.8074546317918925,
1,robas+13,sqrt_norm,2.189500538811956,0.0120411615123884,0.7251653836960529,0.4757333852460735,0.0204498592575747,-0.5936421625577144,0.0248420661987238,-1.5405008779642673,-1.0055573231350023,1.7935011882037006,-0.1881874008336352,7.9126788285531235,-1.9443510703293647
2,robas+14,sqrt_norm,0.7603767939681445,-0.5593726385476161,0.390486664563665,-0.5656153957432143,0.5839619413801431,0.6312811691315616,2.365748799764915,0.0157240554933739,-2.103606347816123,1.3577916851272314,0.0843725866864688,7.883120023245471,3.507844739997953
3,robas+15,sqrt_norm,2.249632325769217,0.7359715259921727,-0.4128698173132046,-0.8391354101605241,0.3707384297491316,-0.8454872936142787,-0.7214487253978767,-0.5193830043254214,-0.1939315306561373,3.216600938084877,-1.1055193134332326,8.261193291086919,1.323497111032757
4,robas+16,zero_infl,-0.9295408210468692,-0.6759137727472689,0.4029788373625826,0.3361219121267105,0.0913085324218759,-1.044711633447905,0.2152665523803191,0.0935822454145019,-0.1451179009730971,0.3002855229501942,-0.1185673701563035,4.963361636759324,
5,robas+18,zero_infl,0.7313218154480774,-1.34175426331972,-0.3597968813656565,0.2276059246499632,0.5848116657296647,-0.7069540105953048,0.0572195029766802,-0.2982132857508014,-0.5177333382179629,0.5801869435084274,-0.0123179132807062,4.600642450274639,
6,robas+19,sqrt_norm,-1.0575452960130445,-0.2807765768174572,0.2726069292644503,0.6250889130613322,1.042468910569101,0.0245891750789822,3.112016684140589,1.2169527277238912,-1.634607942539184,0.2826163687491496,-0.1802123177615395,9.674387342085742,2.4030272266518957
7,robas+21,sqrt_norm,0.1010290248472044,-2.0817674004590003,0.7523681842159486,-0.6097866702841969,-0.2528421012065167,-0.9958375214297598,0.0271174855365412,1.2027447976798022,-0.4385019697114215,-0.4224943759866015,0.7335651301385553,11.050767335083608,1.7682645315346084
8,robas+24,sqrt_norm,1.897819090182108,-0.0190862072695257,-0.1752029474544248,-0.3867505073920934,0.4897084297802479,-0.8722519941697074,0.5599297257187751,1.8272331904696983,-0.6909930349980062,2.014619383603488,0.9129875447898704,6.340367350143049,5.257590261689102
9,robas+25,sqrt_norm,-0.9884707877615616,-0.3432160138140582,0.2969361771760825,-1.0517042798718974,-0.0055358403765216,0.80486357672251,2.6761358956728776,1.926306170457822,-0.8757635473141835,1.03065400085579,0.8220613866790316,8.880953096330813,3.846052856824745
10,robas+28,zero_infl,0.3576686897280456,-1.1590570297342482,0.1699846217995459,-1.147311520868324,0.1025733909980306,-0.8787517417956904,0.2374447825049604,0.1007468399427463,-0.2753564076238968,0.0470696439958004,-0.1599304220529737,4.67141178129997,
11,robas+30,sqrt_norm,1.3185658692060458,-1.9992453948097215,0.8267402878707731,-0.7966347461511127,-0.255978353422117,0.555900254735387,0.6538720459118961,-0.97089768376471,-0.7807085738478918,1.3414631298937911,1.4416138167163717,5.628671122289767,3.548386427213025
12,robas+4,sqrt_norm,-0.0711866371255653,-1.6595732996204065,-0.269864341789748,0.2444951483560913,0.1579910305800308,-0.4327075690635603,0.4756542100220305,-0.6954636948504335,-1.1947537519351454,2.1541618736267414,-0.4141613731933305,8.773335527538809,1.429825645930608
