,User,Model Type,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Y,Prior.Day.Total.Brush.Time.norm.Y,Proportion.Brushed.In.Past.7.Days.Y,Day.Type.Y,Intercept.Y,Sigma_u
0,robas+12,sqrt_norm,2.6344657728529906,0.0778779773065149,-0.5819729921837091,0.3023916002997759,-1.6682243229866351,0.1142204434586013,0.5707197358324134,0.698708064228382,0.2956037452509367,9.966049931477643,1.3871121903913823
1,robas+13,zero_infl,1.9977806171287484,-0.2315703846665226,0.2249866514076552,0.1537270942060268,-0.754326430158198,0.02689150572763,0.0648287244382629,-0.1123835292357276,0.0552603403940432,4.9194108403803485,
2,robas+14,sqrt_norm,0.4546208305642174,-0.6370375398199514,-0.0484936669988153,0.6358548496715405,0.4905934818006046,3.0166316357915983,0.1593974449407669,1.75775318256677,0.3135716318918174,7.669213059837971,3.197022612551568
3,robas+15,zero_infl,2.13709523555991,0.5703619703151424,-1.323937827373243,0.3942909952219616,-0.7005745266353537,-0.1791951516334137,0.0303543084451149,0.2089550506197726,-0.2108745992840362,4.556595866196366,
4,robas+16,zero_infl,-0.9067444145198584,-0.5889873769890731,0.5596060023960013,0.1383744800680731,-0.950448901178309,0.219632945372268,0.0515808890133871,0.1338328496464178,-0.107257807608496,5.045323473046865,
5,robas+18,sqrt_norm,0.633468472942381,-1.761389262593368,-0.8351700188973928,0.8350049756568412,0.1572690464328057,1.3713814198104184,0.227005474891945,1.4654220653097323,0.3668930018444581,8.56069555255724,2.108095376808441
6,robas+19,sqrt_norm,-0.5736014727787495,-0.1823216918623581,0.64815922987455,1.1168113232708252,-0.3873984603979766,2.571954480588869,-0.2200266104769404,1.5565403468661392,-1.172130731538941,9.934741886175107,1.608141780518504
7,robas+21,zero_infl,-0.040905366812021,-0.8084381366076548,-1.1661770646042986,-0.3987288714993708,-1.1903670221535236,-0.1080669385023718,0.0805630305087953,-0.0913919373378104,0.0656412251423642,4.969905586451196,
8,robas+24,sqrt_norm,2.134458589148404,-1.0455051345885775,-0.191429112176242,0.4119195622206503,-0.6592588063797903,0.512560618489034,2.925129771873421,1.3749444094389838,0.9972731725528062,6.557515958272679,4.025779049302069
9,robas+25,zero_infl,-1.4271545950216031,-0.8204797812554911,-0.4016722262556437,-0.0161967517995974,0.6886025998925481,0.14888236950084,0.0425718305286772,-0.204559122174726,0.0124425215448412,5.239219881541315,
10,robas+28,zero_infl,0.1429704539050954,-0.83400318198299,-1.0857114439676758,0.3559442218807019,-0.6786950221864163,0.1947463867531298,0.1315540952529179,-0.1507795505010285,-0.1431129915926132,4.844881857024751,
11,robas+30,sqrt_norm,1.4422628568329363,-1.9868078253355224,-0.8647146217062394,-0.2004660445078212,0.3949315401415334,0.6149010430362969,-0.7008607244225316,1.6663804904454305,0.7903154008612425,5.327327391395062,3.4440210443593813
12,robas+31,sqrt_norm,0.0995960898670365,-2.076984867920922,0.0349084911706835,0.9988627081038288,1.420123055696801,1.3829054302879176,1.3478741199450317,-6.329258495434076e-07,0.8561791472647837,2.525826525466494,3.926432363046074
13,robas+34,zero_infl,0.0156198524563375,-2.158475724113844,0.7073918555365976,0.116102538966555,0.1013964763558941,0.3067003203899386,-0.1006849950108747,0.0668046615541565,-0.2401732061439339,5.063250706383905,
14,robas+35,zero_infl,-0.1165031203299794,-1.564655620516063,0.3990570008149671,0.5832513816953125,0.2225106356792888,0.0339005304417093,0.0146602540242945,-0.1602127564304625,-0.0776630380508743,5.079222319722662,
15,robas+36,zero_infl,0.7422843333281924,-0.5206666586627015,0.0549878530600815,0.0106454794971581,-0.5381914942676942,0.0836285051324708,-0.0132242743055898,-0.1925625875609777,0.1213765824407272,4.981823177138243,
16,robas+37,sqrt_norm,0.365229374771584,-0.2751900395347351,0.0321304384132879,0.0242292620685472,1.2033505033855485,0.8985719545312987,-0.5673184281022231,6.795376735140742e-07,0.8985713001772954,1.4569394711171688,4.096102879346652
17,robas+4,zero_infl,-0.0059495641560652,-1.341219911385507,0.4027224306889613,-0.1712247160829281,-0.0816949866332046,-0.0257152842514758,-0.0922547197277695,0.1305833110044304,-0.1640927729962054,4.717920296601883,
18,robas+47,sqrt_norm,2.1591043654706663,-0.0618134129720582,-0.0660476537736557,-0.2782848617056753,0.1956815091224562,-2.349536991857547e-05,-1.523895181582666,0.7537151916133136,0.2768992938332669,4.4498179440062255,1.41781438193821
19,robas+63,sqrt_norm,0.4226534872308344,-0.9752347922136289,-0.123864649779692,0.6770907616915415,-1.3155226883543636,-0.4891737601499841,0.2998064443658361,0.9994065569762208,0.6873292590464718,9.151776250228291,1.569577796566953
20,robas+65,sqrt_norm,0.7536742498815019,-1.1723237605614576,0.0031548858106257,1.1343372807388676,0.187855786746582,0.7280987130797412,0.9966683873069588,0.0911159831528853,0.4021847025605726,2.9859767225726985,4.79416887706623
21,robas+66,zero_infl,0.930935118876529,-1.9182605355358,-0.5965599493664262,0.4432392209442214,0.6127397093163455,-0.2241902987540345,-0.0133087558867226,-0.0688717821948042,0.1979729112738967,5.197111726009282,
22,robas+69,zero_infl,-0.5245481892769108,-0.7839845521555788,-0.1400961617529054,0.4076473598770227,-0.1781483167715629,0.0726603048002454,0.0345090630365826,-0.1076208727018539,0.0142071472944107,4.952680013648611,
23,robas+72,sqrt_norm,-0.5123612747560183,0.0432083299677126,-1.0005674157398996,0.7923978475365414,-1.6693595769618113,0.1877726101989119,0.7569665177264512,0.6947527778952034,-0.449734095649718,8.99311779408581,1.8997311840367104
24,robas+73,zero_infl,-0.2778864209552528,0.0933074765546995,-0.8254637556463372,-0.0224118568580774,0.810594182833769,0.2889609394113688,0.047078623243685,0.0135229933227752,-0.3304485270634554,4.505198912032608,
25,robas+74,sqrt_norm,-2.7626675855196803,-0.2089990832697646,0.2031589486326059,-0.0872419985640144,1.6914815903444953,3.5755196741652684,-0.305715112558626,1.815560269717514,-0.1347585235158735,5.0744099793537405,2.3993912650523805
26,robas+75,zero_infl,1.2816199827751429,-0.2329368717663642,-0.6298490123926924,0.1188777299901016,-0.8032756888940449,0.0772096246013265,0.0198699800636027,0.1080549104671564,-0.1228139474864525,4.912831596543136,
27,robas+76,zero_infl,1.0052861542946994,-0.4003424132901413,-0.4721554842713761,0.4161288499668534,-0.4240059850629675,0.037051533904115,0.0135392806398182,0.0323536688224426,0.063660632686272,4.760466106954765,
28,robas+78,sqrt_norm,0.1806814860682217,-1.8276922793816408,0.6935624491295753,-0.3476181125183007,0.9208193862944436,2.3226812304290485,2.5528440724498567,1.1985428742463142,1.5445978134913263,5.788550041527693,2.7113169078145023
29,robas+79,zero_infl,-0.3174964183532986,-0.944039322477675,-0.5670701659020285,-0.3955538366339478,-1.0631775181659824,-0.1718647018552025,0.0152353625130138,-0.3076157405470562,-0.0750960331896663,5.141401115369732,
30,robas+80,zero_infl,-1.0510273070498235,-0.4925598195975404,0.7121604164317015,-0.6664692960448805,0.1363919059307386,0.2421463538934919,-0.1926074903389726,0.2248925528702342,0.4103478073159389,4.350593018138544,
