,User,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Mu,Prior.Day.Total.Brush.Time.norm.Mu,Proportion.Brushed.In.Past.7.Days.Mu,Day.Type.Mu,Intercept.Mu,Sigma_u
0,robas+12,2.673465783136496,0.007293026332330978,-0.5467434101140178,0.338479568282878,-1.6263852902083131,0.11389673656490958,0.8361609800506548,0.8707641130745442,0.476593462552554,9.836399742699527,1.3813619760138667
1,robas+13,2.126070432250999,-0.28362875083371597,0.2847443017552709,0.0279408078093642,-0.6094747410256053,0.20441387809871986,-0.93709555898337,2.238347500480876,-0.46721551466499045,6.866361756775953,-1.1777605328962033
2,robas+14,0.7543066074736955,-0.6975193054807934,-0.7451728590497356,0.5500496552177071,0.5878451337985704,2.718211315133166,0.37252969014878407,1.6318926079555838,0.12137653695335217,7.932922862033,3.766201423541207
3,robas+15,2.229892876564343,0.6759300517395951,-1.2031844556214197,0.37411552957179345,-0.6690095617969621,-2.2286124998051795,-0.6036121728544456,3.4236321631337083,-3.046570592781769,7.012555730210755,-0.33354400938573203
4,robas+16,-0.9409360157141421,-0.6361439299089201,0.4785637161744224,0.08851077992914955,-1.1027578953966286,2.218458978676432,4.0250163928590235,1.2395362770667755,0.29662201513130343,5.4510096722135275,2.884823572364952
5,robas+18,0.7384362291322544,-1.3282997295226904,-0.06191621592013715,0.5868643014293753,-0.6277873791599294,1.6465921777246322,-0.03637436892349087,1.4085531373084035,0.6049518779671713,7.954806520944774,2.464575983973879
6,robas+19,-1.0517006893038936,-0.33515376849280004,0.5419018792137503,1.0503417486715996,0.06131999602091384,2.876670349818118,1.5236040942119977,0.866690694186904,-0.24242893395790244,9.543995005057491,2.613286604098771
7,robas+21,0.1182845124375923,-2.2757174690385713,-0.5870523742187113,-0.2557467723754333,-0.8093731981630882,0.04225400478851629,1.3012065736693412,-0.3502027419747595,0.7496881680968459,10.914762033198421,1.7958269979028318
8,robas+24,1.8965260765204837,-0.010875154958915535,-0.4873640359319798,0.4835436617189576,-0.8392682074776376,0.5608387558648488,1.7949896757659125,1.9182180712180839,0.9122075420717523,6.265354996599034,5.335621200839912
9,robas+25,-0.9801171013542508,-0.39714793214703814,-1.1030107584073099,0.012101333244582685,0.876405574541555,2.691363781405818,2.0947591858437042,1.2010757647997459,0.7637364606837033,8.64314336616823,3.9232112909022034
10,robas+28,0.3526286556259234,-1.2104001675472034,-1.0507777356970798,0.10564938288341563,-0.9222525364480464,1.6392900939793433,1.294296813400281,1.895940784116838,-0.2473748203389787,7.906844290334594,2.2285033845737954
11,robas+30,1.2768581314890253,-2.112122562857824,-1.1377792409096459,-0.17123857394230282,0.34485774474086434,0.6138603098226504,-1.0975598819976686,1.4492681724305942,1.4142834988164505,5.880280643212629,3.4915779584113262
12,robas+4,-0.06733157346257822,-1.6012825509876105,0.09582103872859825,0.1731262475750304,-0.3635104656704828,0.5783756437136207,-0.2585841742698743,1.6252755038759958,0.06401594441605639,8.817174732769363,1.6100824872912147
