,User,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Poisson,Prior.Day.Total.Brush.Time.norm.Poisson,Proportion.Brushed.In.Past.7.Days.Poisson,Day.Type.Poisson,Intercept.Poisson
0,robas+12,2.673525951418855,0.007440001451930487,-0.5470106211909191,0.3389133505551066,-1.6264473817621707,-0.018431007633128785,0.21560476905784526,-0.3119134659135062,0.05452977139624404,4.909540512142949
1,robas+13,2.126188021005942,-0.2835755477399179,0.2845792934275928,0.028281297993746325,-0.6096660752120806,0.03387498390152764,0.0743459872837047,-0.07823351593196488,0.034060644791382155,4.919725354308393
2,robas+14,0.7543484485636286,-0.6972748795768733,-0.7453957056339121,0.5495073045651121,0.5882926864854232,0.385486831765948,0.19584627962392673,-0.19219704710246366,-0.4508306892762098,4.944283583240191
3,robas+15,2.2297051288217213,0.6758191165749474,-1.2030028094114171,0.3738768536227319,-0.6688518621770911,-0.21187410448653615,-0.019329731584255164,0.3047165754908379,-0.25695958431394106,4.531546587473358
4,robas+16,-0.9406899533267794,-0.636441079900047,0.4791329494707588,0.08889227505658748,-1.103191747062382,0.21958528296091073,0.06668199996247734,0.13596401130201943,-0.105623114138749,5.056521926566343
5,robas+18,0.738404570853383,-1.3282604081321443,-0.062050135369875394,0.586857819947893,-0.6276193606839201,0.10885701258981846,-0.15662398110301004,-0.469584430595157,0.002016869489768095,4.891726663047623
6,robas+19,-1.049784411833372,-0.33475898440128543,0.5412206405751618,1.049912328212305,0.06080628095515827,0.41721756107763613,0.14415073832981598,-1.0588692051294621,-0.18657141781646416,5.249901740256277
7,robas+21,0.1168801441558383,-2.2751610985240776,-0.5873739287623795,-0.25630521161704484,-0.8074571121383655,-0.04039356327383711,0.08666080545079867,-0.5493991431885751,0.16642068839913546,5.366945817535177
8,robas+24,1.896455539199845,-0.010776757270176272,-0.48828515668274636,0.48404553390303545,-0.8395590420851633,-0.7696535455087781,-0.017081522639147938,-0.026609500781692046,-0.3613993886924185,5.4984069986232464
9,robas+25,-0.9823410144341032,-0.3970816727551435,-1.103587220088369,0.012399350860845279,0.8769071730259583,0.19162388062934976,0.1311452638437122,-0.8182593491074905,-0.07431803580435288,5.662264561343597
10,robas+28,0.35286310996462955,-1.212557144841307,-1.0511046101085633,0.10731418444372953,-0.9222952323759405,0.24527897820855726,0.2223093314235382,-0.10944537193349842,-0.14957690473090277,4.745643266886471
11,robas+30,1.2767817929794034,-2.1120679216215708,-1.1379208407591306,-0.1713548596358297,0.34498316045536986,-0.4120993751804885,0.011587755930638195,0.010613466622348678,-0.13789105378052785,4.90237674869683
12,robas+4,-0.06698074537505987,-1.6012996196840381,0.09651263485051291,0.1735191312334043,-0.3640374565768709,0.023071547929850184,-0.02359621303147604,0.08877263959372833,-0.016558029499665228,4.609516695145108
