,User,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Day.in.Study.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Poisson,Prior.Day.Total.Brush.Time.norm.Poisson,Day.in.Study.norm.Poisson,Proportion.Brushed.In.Past.7.Days.Poisson,Day.Type.Poisson,Intercept.Poisson
0,robas+12,2.6374202633438397,0.10571973804732344,0.11586335480653646,-0.6424371906180655,0.30560342927540024,-1.6426220983960729,-0.04257712424075538,0.05612394529789766,-0.12776944803508003,-0.23798861117735803,0.008705221437863276,4.889717266091159
1,robas+13,2.043839263766843,-0.0574089245329176,0.589721312670633,0.1122717060254345,0.1592268203920978,-0.7158454907319678,0.021481774754962872,0.059164898273618115,-0.020959302315457163,-0.09814888969143133,0.05742401018457335,4.912068012049347
2,robas+14,0.464102561342013,-0.5011222747750524,0.492526961009958,-0.06961470992634901,0.6804458802692414,0.5518133065180106,0.22814311327802017,-0.055245534214867685,-0.5059273742784459,-0.20608632315777617,-0.3556421600776248,4.822678964016765
3,robas+15,2.174763537686967,0.6437899556106116,-0.6065674818221358,-0.8068664259282307,0.38907852952624594,-0.963783205646033,-0.17258258578430022,0.02305929018493866,-0.060201062151654106,0.36000864301274715,-0.21495217972456118,4.47999330709068
4,robas+16,-0.8606028754678885,-0.44832023754674033,0.7002092559988826,0.5479330206377315,0.15607214659214588,-0.7229337385461817,0.21404845174771567,0.07621845769382429,-1.009124804678016,0.3309959904352706,-0.12364026257594092,4.094889404706808
5,robas+18,0.6790343962447005,-1.4176726488789468,1.1436003833593427,-0.789594380514246,0.8199007364083792,0.45734506956326293,0.06421652534247464,-0.16849784130410297,-0.5234293497559404,0.05516202345951459,-0.008382504425641788,4.518792550937615
6,robas+19,-0.5737050055702753,-0.1609717769670465,0.20332056845627328,0.5588713785123324,1.1240081231730539,-0.35542625793692373,0.3971787212306883,-0.09032991599586229,-0.1684974648231253,0.024583583483686732,-0.36868524998743074,4.8439221684849665
7,robas+21,-0.04271718366660027,-0.8088292623133632,-0.02087108386243728,-1.1597462237528664,-0.40101880158320874,-1.1979381420001751,-0.10794571787584771,0.07781162637365048,-0.02560619085757139,-0.06567815654922436,0.0648880399388468,4.950738264473043
8,robas+24,2.131934333890811,-1.0472406705198627,-0.06605780705606681,-0.17838001456633676,0.40872333958068646,-0.6937329325049106,-0.4669870982032884,0.15364024478300428,-0.08978093051357335,-0.5690324034559048,-0.06926169458032129,5.265251052029639
9,robas+25,-1.44294145417714,-0.8482294881819293,-0.33321972196171734,-0.22318576366392995,-0.006911883964020022,0.6043405117481965,0.15030978877648526,0.028477756679998488,-0.07275016955639628,-0.12942175058319913,0.02036044834721988,5.205489964286655
10,robas+28,0.15771086107140111,-0.7486991869372642,0.39724976168793746,-1.3414320756526463,0.319125196284273,-0.577520220076137,0.19127379482236403,0.04291284234729348,-0.2845180854577376,0.036009689958399795,-0.14222031057647627,4.765902720771479
11,robas+30,1.6018041626367376,-1.3056551447093392,2.0185435148737803,-0.513456574520489,-0.12518284205951744,1.3227986221986403,-0.09770692761808462,0.09719901137891611,2.337160118749708,-0.4424913769880638,-0.5056396058567868,6.8514084364199475
12,robas+31,0.14276159418208867,-1.8551470480009802,0.6479664161999665,0.05686455845496012,0.9994109330879252,1.6174522943527494,-0.12080005735561404,0.4640428017845296,-2.64629151902767,-8.757007630178016e-05,-0.46074260307847076,2.4360780379503324
13,robas+34,0.011886803381362299,-2.1628033708474907,-0.06924790675759572,0.714071855975217,0.11230584639407055,0.07394097974837477,0.30316924962774866,-0.11253417878215483,-0.08589356324242334,0.0956079777266075,-0.2282931913912345,5.019430574163743
14,robas+35,-0.16946829681218623,-1.5340249213631678,-0.7469978392415371,0.582735915208446,0.5501696046305106,-0.12846612475586172,0.024494247793843574,-0.019343510249581974,-0.2579777964614263,0.08683471138826276,-0.058230741652272586,4.924755859486051
15,robas+36,0.7390548988474047,-0.5226844296306314,-0.10164508885668284,0.1128974356523142,0.020071023866399616,-0.5748452621436769,0.08399631228349133,-0.013071714661859964,0.006164454947682395,-0.1995211912871844,0.12071695459090197,4.985627020239647
16,robas+37,0.25412586416738947,-0.24818866112906954,-0.727382008180706,0.03138140999735148,-0.05449157830872626,0.805673684434772,0.9078398411088158,-1.2691145441591203,-1.8556315234445808,-2.147416783428762e-05,0.9077791325385302,2.143154008589349
17,robas+4,-0.007275953736782045,-1.3548466719660717,-0.09200022307426044,0.4538340238748816,-0.17630778352744844,-0.10272510358231156,-0.022777270140406827,-0.11748571347853382,-0.13909574074356348,0.22168990647763712,-0.1958961823337949,4.683078385841421
18,robas+47,2.155575424348275,-0.04861644618277526,-0.07777279291746426,-0.058473892116153725,-0.28398670865769177,0.15975391525100377,-0.0005511835381959377,0.4865984184205535,-1.055062297771123,1.104336281429206,-0.07697875226175864,3.235040778467439
19,robas+63,0.4327852605479789,-0.7861319765912058,0.7305244402386956,-0.213203217824278,0.6954191781370873,-1.3501109185792417,-0.21249761917006307,-0.0037223776582936776,-0.03225208747455565,-0.06335361136844207,0.0567243880074752,4.775203538785717
20,robas+65,0.7203800541518857,-1.176517119799415,-0.26007997482025685,0.00025398184285246926,1.106849500706497,0.029957702655018806,-0.3646715315606573,0.12695271996965887,-1.010378356654685,3.075705479268407,-0.19299168230697775,4.353676506569137
21,robas+66,0.92759342849815,-1.9857933756163095,-0.6485380339523307,-0.026090122142825124,0.4735141074070829,0.4948117949954467,-0.21875971375088077,-0.03187018336389528,-0.12041199466127858,0.12740940290709196,0.217131087321632,5.153888382947312
22,robas+69,-0.5248964481599915,-0.7743195010488687,0.09180404671576488,-0.18597066940255086,0.41422669858938027,-0.15782011158776937,0.07173534767694263,0.030156227260055696,-0.02808740825424581,-0.08552890627371029,0.008979343778010136,4.943248586041993
23,robas+72,-0.5261464559796364,-0.006100740517037787,-0.3120154334681332,-0.8427363063244618,0.7731172372249692,-1.7764876637931946,-0.0727501093859975,-0.04235502519702132,-0.08954741059663128,-0.3184347076734973,-0.18754424903001177,5.063206638639816
24,robas+73,-0.3363834922417377,0.29571111307365144,1.7579629812117574,0.012198340976909607,-0.016873521039410016,0.6721426871916824,0.312528511072598,0.14485821950088035,0.6262112433411384,0.15654649539503018,-0.3221155412102758,4.614599035964627
25,robas+74,-2.7632198514294157,-0.15922971570167346,0.2083882019898446,0.1609450050805527,-0.10473109139337278,1.755590719374413,0.5114421305025963,-0.06676715545424011,-0.3964832489388755,0.46275350414949906,-0.12067021891984601,3.8714900672619463
26,robas+75,1.2916532214899854,-0.1963947121609328,0.333850737764222,-0.7438511079685219,0.13674331376343832,-0.770776378844106,0.07773185130074617,0.01775287197203044,-0.025287950176980815,0.11931296638043518,-0.12481883528553646,4.906554630430801
27,robas+76,1.0038775189871347,-0.3984294586366328,-0.12472250576560981,-0.37887405660575896,0.41379174205589453,-0.4643599446639094,0.036898009906453234,0.014669457763263049,0.009268341203922637,0.019792486640733662,0.06507710182267695,4.765764869929808
28,robas+78,0.22468349911511692,-1.7069779674113472,0.6129582271959113,0.7655478486578392,-0.31794871469238906,1.146182250399412,0.09566484729938787,0.08005490392861292,-0.1675116603088867,0.029812696081338054,0.06048832906434887,4.870976753127217
29,robas+79,-0.24158482243410528,-0.847970285001911,0.6517052425132878,-0.5575944598229595,-0.38226386534988993,-0.7841516341108589,-0.17090380270751643,0.014728900313466391,0.06667205801290498,-0.3257641546165587,-0.07852434505273871,5.202999015939418
30,robas+80,-1.0374797618718308,-0.48752118541855144,0.1732307440733557,0.7103336308991918,-0.6513918658294734,0.23943011028936842,0.23822383952215248,-0.1879941308410065,0.2712532000629398,0.13669807994710878,0.4133407312066817,4.582467499590312
