,User,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Day.in.Study.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Mu,Prior.Day.Total.Brush.Time.norm.Mu,Day.in.Study.norm.Mu,Proportion.Brushed.In.Past.7.Days.Mu,Day.Type.Mu,Intercept.Mu,Sigma_u
0,robas+12,2.6921717323930436,0.15391163478309686,0.33194675672217705,-0.6641743298788074,0.32457365450185366,-1.5544828915533875,-0.015061937736879713,0.1354193373876724,-0.18373385618156854,-0.05993157339977567,0.06635185259571195,4.718512623076767,0.24215932785527042
1,robas+13,2.189500538811956,0.01204116151238841,0.7251653836960529,0.47573338524607356,0.02044985925757475,-0.5936421625577144,0.02291762560426879,0.050251946976256574,-0.016995117800314697,-0.0441852662614677,0.035228993871866475,4.8950025701944835,-0.09737619828983761
2,robas+14,0.7603767939681445,-0.5593726385476161,0.390486664563665,-0.5656153957432143,0.5839619413801431,0.6312811691315616,0.313934429271518,0.10098532288057832,-0.4265934531150362,-0.06507238574966431,-0.2126055352604625,4.56751537345663,0.5913033528768808
3,robas+15,2.2496323257692166,0.7359715259921727,-0.4128698173132046,-0.8391354101605241,0.3707384297491316,-0.8454872936142787,-0.1979927273787866,-0.05249212520120267,-0.020242745512886556,0.4259277481196228,-0.2867286038690994,4.4226523975820236,0.2808021478667416
4,robas+16,-0.9313405216535312,-0.6726883961297163,0.40419132815347836,0.33200683231666167,0.09001929786287469,-1.0456099245675103,0.21124788838844288,0.2150547463673328,-0.15309020114643043,0.278227971937513,-0.1384320362740304,4.784419964787483,0.27490453555645095
5,robas+18,0.7315910252051109,-1.3417772701107242,-0.35992299695656244,0.22671970091367927,0.5855684975088298,-0.7073246118135607,0.07208409148274982,-0.30583240877488005,-0.5530890220716145,0.8139504430086221,-0.13407446227959854,4.488811908236545,0.3190605968130223
6,robas+19,-1.0575452960130445,-0.28077657681745727,0.2726069292644503,0.6250889130613322,1.042468910569101,0.024589175078982246,0.409724368202059,0.0897322548156721,-0.26201165518305125,-0.7166784650147904,-0.14243645156435158,5.0527153888743435,0.27601167901088924
7,robas+21,0.10102902484720447,-2.0817674004590003,0.7523681842159486,-0.6097866702841969,-0.2528421012065167,-0.9958375214297598,-0.06102052487509514,0.08455318353245465,-0.07496783258859221,-0.36886561671416784,0.09480300072567618,5.21124785061106,0.2115185781418513
8,robas+24,1.8978190901821081,-0.01908620726952576,-0.17520294745442488,-0.38675050739209343,0.4897084297802479,-0.8722519941697074,-0.4295322613320402,0.22320619929715071,-0.5045636012171331,0.2875716637374541,-0.4492288391984264,4.941947573506074,0.8237284567757084
9,robas+25,-0.9884707877615615,-0.34321601381405825,0.2969361771760825,-1.0517042798718974,-0.0055358403765216665,0.80486357672251,0.12246520535309216,0.08740534209671012,-0.3061356066499991,-0.6441325992214957,0.03587111358905478,5.514512698143761,0.3173998240582942
10,robas+28,0.35650332714895555,-1.1591347883264282,0.1701957184286409,-1.1498591578810078,0.10483037608972055,-0.8771100134615595,0.22393790505826117,0.12550445723735798,-0.3172751575004124,0.1765863203700446,-0.12850114543632615,4.473047256888831,0.39461646959398816
11,robas+30,1.3185658692060458,-1.9992453948097217,0.8267402878707731,-0.7966347461511127,-0.255978353422117,0.555900254735387,-0.3585441240739378,-0.11723250372505961,0.22006784773902519,0.21476085556349384,-0.2330162478599707,4.831907280212102,0.33119407660486827
12,robas+4,-0.07118663712556533,-1.6595732996204065,-0.269864341789748,0.24449514835609132,0.15799103058003083,-0.4327075690635603,0.012024071385869521,-0.19773580229896684,-0.28634066530129143,0.3985530039292007,-0.1699519298976593,4.442224179935076,0.3065785836020664
