,User,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Day.in.Study.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Mu,Prior.Day.Total.Brush.Time.norm.Mu,Day.in.Study.norm.Mu,Proportion.Brushed.In.Past.7.Days.Mu,Day.Type.Mu,Intercept.Mu,Sigma_u
0,robas+12,2.6921717323930436,0.15391163478309686,0.33194675672217705,-0.6641743298788074,0.32457365450185366,-1.5544828915533875,-0.5962495545158721,-0.40339672745455646,-2.445228659067424,3.2847166875139617,-0.2753385926971006,8.172305429268949,-0.25757922310094816
1,robas+13,2.189500538811956,0.01204116151238841,0.7251653836960529,0.47573338524607356,0.02044985925757475,-0.5936421625577144,0.024842066198723867,-1.5405008779642673,-1.0055573231350023,1.7935011882037006,-0.18818740083363528,7.9126788285531235,-1.9443510703293652
2,robas+14,0.7603767939681445,-0.5593726385476161,0.390486664563665,-0.5656153957432143,0.5839619413801431,0.6312811691315616,2.365748799764915,0.01572405549337392,-2.103606347816123,1.3577916851272314,0.08437258668646887,7.883120023245471,3.507844739997953
3,robas+15,2.2496323257692166,0.7359715259921727,-0.4128698173132046,-0.8391354101605241,0.3707384297491316,-0.8454872936142787,-0.7214487253978767,-0.5193830043254214,-0.19393153065613739,3.2166009380848775,-1.1055193134332326,8.261193291086919,1.323497111032757
4,robas+16,-0.9313405216535312,-0.6726883961297163,0.40419132815347836,0.33200683231666167,0.09001929786287469,-1.0456099245675103,2.199554362337083,4.035204617587065,-0.9445214428682907,1.6306417705266754,0.20261889360951235,5.463695776809626,2.752469424128417
5,robas+18,0.7315910252051109,-1.3417772701107242,-0.35992299695656244,0.22671970091367927,0.5855684975088298,-0.7073246118135607,1.4251043785241657,-0.515873829732037,-1.2536627574803423,1.990953733024657,0.48632132106349935,8.348351434947512,2.0929716936062355
6,robas+19,-1.0575452960130445,-0.28077657681745727,0.2726069292644503,0.6250889130613322,1.042468910569101,0.024589175078982246,3.112016684140589,1.2169527277238912,-1.634607942539184,0.28261636874914964,-0.1802123177615395,9.674387342085742,2.4030272266518953
7,robas+21,0.10102902484720447,-2.0817674004590003,0.7523681842159486,-0.6097866702841969,-0.2528421012065167,-0.9958375214297598,0.027117485536541266,1.2027447976798022,-0.4385019697114215,-0.4224943759866015,0.7335651301385553,11.050767335083608,1.7682645315346084
8,robas+24,1.8978190901821081,-0.01908620726952576,-0.17520294745442488,-0.38675050739209343,0.4897084297802479,-0.8722519941697074,0.5599297257187751,1.8272331904696983,-0.6909930349980062,2.0146193836034882,0.9129875447898704,6.340367350143049,5.257590261689102
9,robas+25,-0.9884707877615615,-0.34321601381405825,0.2969361771760825,-1.0517042798718974,-0.0055358403765216665,0.80486357672251,2.6761358956728776,1.926306170457822,-0.8757635473141835,1.03065400085579,0.8220613866790316,8.880953096330813,3.846052856824745
10,robas+28,0.35650332714895555,-1.1591347883264282,0.1701957184286409,-1.1498591578810078,0.10483037608972055,-0.8771100134615595,1.5573730749856853,0.6794758508313333,-1.540284712808778,2.239305391048774,-0.3835045875945668,8.028414819732527,2.0493023091986826
11,robas+30,1.3185658692060458,-1.9992453948097217,0.8267402878707731,-0.7966347461511127,-0.255978353422117,0.555900254735387,0.6538720459118961,-0.9708976837647099,-0.7807085738478918,1.3414631298937911,1.4416138167163715,5.6286711222897665,3.548386427213025
12,robas+4,-0.07118663712556533,-1.6595732996204065,-0.269864341789748,0.24449514835609132,0.15799103058003083,-0.4327075690635603,0.47565421002203057,-0.6954636948504335,-1.1947537519351454,2.1541618736267414,-0.4141613731933305,8.773335527538809,1.429825645930608
